	Type	Categories/Median	Counts/Mean	%/SD	Number_non-zeros(n)	Number_NA
AgeAtFecalSampling	numerical	43	44.20792079	13.91712386	101	0
BMI	numerical	23.6	24.37777778	4.227740159	99	2
Ethnicity	categorical	Caucasian, Noncaucasian	93, 4	95.88, 4.12	97	4
Group	categorical	intermediate, normal, small intestine	101, 0, 0	100, 0, 0	101	0
Length	numerical	176	175.42	10.38372853	100	1
Sex	categorical	female, male	55, 46	54.46, 45.54	101	0
TimeToFecalProductionStoragemin80InDays	numerical	7	12.33333333	15.84663819	93	8
Weight	numerical	75	74.97373737	14.29330931	99	2
						
RetentStool	categorical	Hurry, Immediately, Incontinence, yes	25, 19, 5, 47	26.04, 19.79, 5.21, 48.96	96	5
ActiveDisease	categorical	Active, NotActive	33, 67	33, 67	100	1
AnalPain	categorical	mild, no, severe	23, 75, 3	22.77, 74.26, 2.97	101	0
ANCAposneg	categorical	neg, pos	86, 12	87.76, 12.24	98	3
ANCAcontinuous	numerical	0	11.02040816	32.88498532	98	3
ASCAposneg	categorical	neg, pos	44, 53	45.36, 54.64	97	4
ASCA	categorical	dubieus, neg, pos	0, 44, 53	0, 45.36, 54.64	97	4
BloodinStool	categorical	no, OftenClearly, SometimesClearly, TraceOfBlood	87, 0, 9, 5	86.14, 0, 8.91, 4.95	101	0
BowelCancer	categorical	no, yes	99, 2	98.02, 1.98	101	0
CRPdivided5	numerical	1	1.762376238	2.702400839	101	0
DiseaseDurationYears	numerical	15	15.15	9.035703592	100	1
DiseaseLocation	categorical	both, colon, ileum, none	36, 4, 59, 2	35.64, 3.96, 58.42, 1.98	101	0
FrequencyFormedStoolDay	numerical	1	1.079207921	1.036177285	101	0
FrequencyFormedstoolNight	numerical	0	0.02970297	0.170613337	101	0
FrequencySoftStoolDay	numerical	1	1.979591837	2.754488715	98	3
FrequencySoftstoolNight	numerical	0	0.178217822	0.606564747	101	0
MontrealA	categorical	A1under16years, A2between17and40years, A3over40years	13, 65, 21	13.13, 65.66, 21.21	99	2
MontrealBPerianal	categorical	no, yes	66, 34	66, 34	100	1
MontrealL4	categorical	no, yes	96, 3	96.97, 3.03	99	2
MontrealLminL4	categorical	L1terminalileum, L2colon, L3ileocolon	59, 4, 36	59.6, 4.04, 36.36	99	2
MucusinStool	categorical	no, Often, sometimes	62, 9, 30	61.39, 8.91, 29.7	101	0
PainfulUrgeDefecation	categorical	mild, no, severe	17, 79, 5	16.83, 78.22, 4.95	101	0
						
DiagnosisFirst	categorical	CD, CU, IBDU, UC	92, 1, 1, 0	97.87, 1.06, 1.06, 0	94	7
DiagnosisCurrent	categorical	CD, IBDU, MicroscopicColitis, UC	100, 1, 0, 0	99.01, 0.99, 0, 0	101	0
						
TotalReads	numerical	24330628	25794120.42	9640904.486	101	0
MedicationMesalazines	categorical	no, yes	87, 9	90.62, 9.38	96	5
MedicationMesalazinesLocal	categorical	no, yes	96, 0	100, 0	96	5
MedicationSteroids	categorical	no, yes	81, 15	84.38, 15.62	96	5
MedicationSteroidsLocal	categorical	no, yes	95, 1	98.96, 1.04	96	5
MedicationMesalazinesAndSteroidsLocal	categorical	no, yes	96, 0	100, 0	96	5
MedicationImmunosuppressants	categorical	no, yes	53, 43	55.21, 44.79	96	5
MedicationAntiTNF	categorical	no, yes	62, 34	64.58, 35.42	96	5
