Type	Categories/Median	Counts/Mean	%/SD	Number_non-zeros(n)	Number_NA
Group	categorical	intermediate, normal, small intestine	0, 355, 0	0, 100, 0	355	0
Sex	categorical	female, male	215, 140	60.56, 39.44	355	0
TotalReads	numerical	23863166	25647024.0619718	9962830.65617614	355	0
TimeToFecalProductionStoragemin80InDays	numerical	4	11.9240121580547	27.0825916267141	329	26
AgeAtFecalSampling	numerical	41	42.6112676056338	15.1546039069016	355	0
ActiveDisease	categorical	Active, NotActive	77, 271	22.13, 77.87	348	7
CRPdivided5	numerical	1	1.65439093484419	1.60418105527381	353	2
ANCAcontinuous	numerical	0	49.2774566473988	99.5048518831882	346	9
ANCAposneg	categorical	neg, pos	202, 146	58.05, 41.95	348	7
ASCA	categorical	dubieus, neg, pos	9, 250, 90	2.58, 71.63, 25.79	349	6
ASCAposneg	categorical	neg, pos	249, 90	73.45, 26.55	339	16
DiagnosisFirst	categorical	CD, CU, IBDU, UC	134, 155, 13, 7	43.37, 50.16, 4.21, 2.27	309	46
DiseaseDurationYears	numerical	8	10.4412607449857	8.19833979641298	349	6
Length	numerical	174	174.552112676056	9.76587305863832	355	0
Weight	numerical	76.5	78.7524216524216	17.0558658063599	351	4
BMI	numerical	24.9	25.8438746438746	5.16875899183445	351	4
DiagnosisCurrent	categorical	CD, IBDU, MicroscopicColitis, UC	159, 27, 1, 166	45.04, 7.65, 0.28, 47.03	353	2
MontrealA	categorical	A1under16years, A2between17and40years, A3over40years	42, 198, 77	13.25, 62.46, 24.29	317	38
MontrealLminL4	categorical	L1terminalileum, L2colon, L3ileocolon	35, 206, 67	11.36, 66.88, 21.75	308	47
DiseaseLocation	categorical	both, colon, ileum, none	67, 206, 35, 47	18.87, 58.03, 9.86, 13.24	355	0
MontrealL4	categorical	no, yes	294, 18	94.23, 5.77	312	43
MontrealBPerianal	categorical	no, yes	276, 47	85.45, 14.55	323	32
Ethnicity	categorical	Caucasian, Noncaucasian	324, 19	94.46, 5.54	343	12
MedicationMesalazines	categorical	no, yes	172, 171	50.15, 49.85	343	12
MedicationMesalazinesLocal	categorical	no, yes	332, 11	96.79, 3.21	343	12
MedicationSteroids	categorical	no, yes	282, 61	82.22, 17.78	343	12
MedicationSteroidsLocal	categorical	no, yes	342, 1	99.71, 0.29	343	12
