Type	Categories/Median	Counts/Mean	%/SD	Number_non-zeros(n)	Number_NA
Group	categorical	intermediate, normal, small intestine	0, 0, 58	0, 0, 100	58	0
Sex	categorical	female, male	41, 17	70.69, 29.31	58	0
TotalReads	numerical	21269465	23716391.2068966	9221553.61793607	58	0
TimeToFecalProductionStoragemin80InDays	numerical	3	12.8333333333333	18.76141162167	54	4
AgeAtFecalSampling	numerical	44	45.1896551724138	11.4821858921315	58	0
ActiveDisease	categorical	Active, NotActive	15, 43	25.86, 74.14	58	0
CRPdivided5	numerical	1	1.79310344827586	2.13376054403631	58	0
ANCAcontinuous	numerical	0	43.5087719298246	106.979491159858	57	1
ANCAposneg	categorical	neg, pos	39, 18	68.42, 31.58	57	1
ASCA	categorical	dubieus, neg, pos	1, 39, 17	1.75, 68.42, 29.82	57	1
ASCAposneg	categorical	neg, pos	39, 17	69.64, 30.36	56	2
DiagnosisFirst	categorical	CD, CU, IBDU, UC	21, 33, 0, 0	38.89, 61.11, 0, 0	54	4
DiseaseDurationYears	numerical	14	16.6206896551724	11.0847256788646	58	0
Length	numerical	171.5	172.810344827586	8.56442437010734	58	0
Weight	numerical	72.3	76.9298245614035	19.8315042015789	57	1
BMI	numerical	24.5	25.8421052631579	6.96714092232811	57	1
DiagnosisCurrent	categorical	CD, IBDU, MicroscopicColitis, UC	23, 1, 0, 34	39.66, 1.72, 0, 58.62	58	0
MontrealA	categorical	A1under16years, A2between17and40years, A3over40years	8, 40, 8	14.29, 71.43, 14.29	56	2
MontrealLminL4	categorical	L1terminalileum, L2colon, L3ileocolon	2, 36, 15	3.77, 67.92, 28.3	53	5
DiseaseLocation	categorical	both, colon, ileum, none	15, 36, 2, 5	25.86, 62.07, 3.45, 8.62	58	0
MontrealL4	categorical	no, yes	48, 5	90.57, 9.43	53	5
MontrealBPerianal	categorical	no, yes	41, 16	71.93, 28.07	57	1
Ethnicity	categorical	Caucasian, Noncaucasian	55, 2	96.49, 3.51	57	1
MedicationMesalazines	categorical	no, yes	50, 3	94.34, 5.66	53	5
MedicationMesalazinesLocal	categorical	no, yes	53, 0	100, 0	53	5
MedicationSteroids	categorical	no, yes	49, 4	92.45, 7.55	53	5
MedicationSteroidsLocal	categorical	no, yes	52, 1	98.11, 1.89	53	5
MedicationMesalazinesAndSteroidsLocal	categorical	no, yes	53, 0	100, 0	53	5
MedicationImmunosuppressants	categorical	no, yes	38, 15	71.7, 28.3	53	5
MedicationAntiTNF	categorical	no, yes	43, 10	81.13, 18.87	53	5
MedicationBiologicals	categorical	no, yes	53, 0	100, 0	53	5
MedicationAntibiotics	categorical	no, yes	52, 1	98.11, 1.89	53	5
MedicationAntidiarrhoea	categorical	no, yes	51, 2	96.23, 3.77	53	5
MedicationVitamins	categorical	no, yes	37, 16	69.81, 30.19	53	5
MedicationMinerals	categorical	no, yes	51, 2	96.23, 3.77	53	5
MedicationVitaminsAndMinerals	categorical	no, yes	43, 10	81.13, 18.87	53	5
MedicationIron	categorical	no, yes	50, 3	94.34, 5.66	53	5
MedicationPPI	categorical	no, yes	33, 20	62.26, 37.74	53	5
MedicationAgainstOsteoporosis	categorical	no, yes	50, 3	94.34, 5.66	53	5
MedicationBileAcids	categorical	no, yes	49, 4	92.45, 7.55	53	5
Appendectomy	categorical	no, yes	41, 17	70.69, 29.31	58	0
AppendectomyDueAppendicitis	categorical	no, yes	57, 1	98.28, 1.72	58	0
Dysplasia	categorical	no, yes	58, 0	100, 0	58	0
BowelCancer	categorical	no, yes	57, 1	98.28, 1.72	58	0
EIMOrAnyComplications	categorical	no, yes	35, 23	60.34, 39.66	58	0
EIMAnyEyeComplications	categorical	no, yes	57, 1	98.28, 1.72	58	0
EIMEyeUveitis	categorical	no, yes	58, 0	100, 0	58	0
EIMEyeEpiscleritis	categorical	no, yes	58, 0	100, 0	58	0
EIMAnyMouthComplications	categorical	no, yes	58, 0	100, 0	58	0
EIMMouthAphte	categorical	no, yes	58, 0	100, 0	58	0
EIMMouthCrohnInAphteBiopsy	categorical	no, yes	58, 0	100, 0	58	0
EIMAnySkinComplications	categorical	no, yes	50, 8	86.21, 13.79	58	0
EIMSkinErythemaNodosum	categorical	no, yes	58, 0	100, 0	58	0
EIMSkinPyodermaGangrenosum	categorical	no, yes	57, 1	98.28, 1.72	58	0
EIMSkinHydradenitis	categorical	no, yes	56, 2	96.55, 3.45	58	0
EIMSkinHydradenitisAndAbces	categorical	no, yes	57, 1	98.28, 1.72	58	0
EIMSkinPsoriasis	categorical	no, yes	58, 0	100, 0	58	0
EIMSkinCancer	categorical	no, yes	58, 0	100, 0	58	0
EIMAnyJointComplications	categorical	no, yes	52, 6	89.66, 10.34	58	0
EIMJointArthralgia	categorical	no, yes	40, 18	68.97, 31.03	58	0
EIMJointEnthesitis	categorical	no, yes	55, 3	94.83, 5.17	58	0
EIMJointArthritis	categorical	no, yes	57, 1	98.28, 1.72	58	0
EIMJointArthritisTypeI	categorical	no, yes	58, 0	100, 0	58	0
EIMJointArthritisTypeII	categorical	no, yes	57, 1	98.28, 1.72	58	0
EIMJointDactylitis	categorical	no, yes	57, 1	98.28, 1.72	58	0
EIMJointAnkylosingSpondylitis	categorical	no, yes	58, 0	100, 0	58	0
